key,description,en,sv_auto
homepage.advantages.worldwide_shipping.description,Description avantage: Livraison Mondiale,Worldwide delivery for all your needs,Världsomspännande leverans för alla dina behov
homepage.advantages.customer_service.title,Titre avantage: Service Après-Vente Réactif,Responsive After-Sales Service,Responsiv eftermarknadsservice
homepage.advantages.customer_service.description,Description avantage: Service Après-Vente Réactif,A responsive and available after-sales service to assist you,En lyhörd och tillgänglig eftermarknadsservice som hjälper dig
homepage.advantages.secure_payment.title,Titre avantage: Paiement Sécurisé,Secure Payment,Säker betalning
homepage.advantages.secure_payment.description,Description avantage: Paiement Sécurisé,Secure payment by credit card with maximum protection,Säker betalning med kreditkort med maximalt skydd
homepage.faq.title,Titre de la section FAQ,Frequently Asked Questions,Vanliga frågor
homepage.categories.title,Titre de la section catégories,Our Categories,Våra kategorier
homepage.testimonials.title,Titre de la section témoignages,Customer Reviews,Kundrecensioner
homepage.stats.title,Titre de la section statistiques,Our Key Figures,Våra nyckeltal
homepage.stats.products.number,Nombre de produits,2800,2800
homepage.stats.products.label,Label produits,Products Available,Tillgängliga produkter
homepage.stats.countries.number,Nombre de pays,108,108
homepage.stats.countries.label,Label pays,Country of Delivery,Leveransland
homepage.stats.satisfaction.number,Taux de satisfaction,98 %,98 %
homepage.stats.satisfaction.label,Label satisfaction,Customer Satisfaction,Kundnöjdhet
homepage.stats.support.number,Support client,24/7,Dygnet runt
homepage.stats.support.label,Label support,Customer Service,Kundservice
homepage.testimonials.1.name,Nom du témoignage 1,Jack D.,Jack D.
homepage.testimonials.1.text,Texte du témoignage 1,"Excellent service! I ordered a rooftop car tent and I’m extremely satisfied. The quality is outstanding, the delivery was fast, and the packaging was secure. The tent is exactly as described—strong, comfortable, and very easy to set up. It has completely upgraded our road trips and camping experience. I highly recommend it without hesitation.","Utmärkt service! Jag beställde ett taktält för bilar och jag är extremt nöjd. Kvaliteten är enastående, leveransen var snabb och förpackningen var säker. Tältet är precis som beskrivet – starkt, bekvämt och väldigt enkelt att sätta upp. Det har helt uppgraderat våra bilresor och campingupplevelser. Jag rekommenderar det starkt utan att tveka."
homepage.testimonials.2.name,Nom du témoignage 2,Marine G.,Marin G.
homepage.testimonials.2.text,Texte du témoignage 2,"Excellent value for money. I bought a gas heater for my camper van and it fully matches the description. The heater is efficient, reliable, and well built, providing fast and consistent warmth even in cold conditions. Delivery was on time, the packaging was secure, and the product exceeded my expectations.","Utmärkt valuta för pengarna. Jag köpte en gasvärmare till min husbil och den matchar helt beskrivningen. Värmaren är effektiv, pålitlig och välbyggd och ger snabb och jämn värme även i kalla förhållanden. Leveransen var i tid, förpackningen var säker och produkten överträffade mina förväntningar."
homepage.testimonials.3.name,Nom du témoignage 3,Fabrice L.,Fabrice L.
homepage.testimonials.3.text,Texte du témoignage 3,"Perfect! I ordered outdoor camping chairs and I’m very satisfied. The quality is excellent, the price is competitive, and the delivery went smoothly. The chairs are sturdy, comfortable, and well designed, making them ideal for camping, road trips, and outdoor use. I will definitely be back!","Perfekt! Jag beställde campingstolar för utomhusbruk och jag är mycket nöjd. Kvaliteten är utmärkt, priset är konkurrenskraftigt och leveransen gick smidigt. Stolarna är robusta, bekväma och väldesignade, vilket gör dem perfekta för camping, bilresor och utomhusbruk. Jag kommer definitivt tillbaka!"
homepage.testimonials.4.name,Nom du témoignage 4,Rose K.,Rose K.
homepage.testimonials.4.text,Texte du témoignage 4,"Responsive customer service and quality product. I had a quick question before ordering and received a prompt and helpful reply. The inflatable mattress perfectly matches the photos and description. The build quality is excellent, it inflates easily, and it’s very comfortable for sleeping. It performed exactly as expected and made our camping nights much more enjoyable. Very satisfied with my purchase!

","Responsiv kundservice och kvalitetsprodukt. Jag hade en snabb fråga innan jag beställde och fick ett snabbt och hjälpsamt svar. Den uppblåsbara madrassen matchar perfekt bilderna och beskrivningen. Byggkvaliteten är utmärkt, den blåses upp lätt och den är väldigt bekväm att sova i. Den fungerade exakt som förväntat och gjorde våra campingkvällar mycket roligare. Väldigt nöjd med mitt köp!

"
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,FAQ,,#VALUE!
homepage.faq.1.question,Question FAQ 1,What are the delivery times?,Vilka är leveranstiderna?
homepage.faq.1.answer,Réponse FAQ 1,"Delivery times vary depending on your location and the seller. Generally, standard delivery takes between 15 and 30 business days. Some sellers offer express delivery (7-15 days) for an additional fee. You can check the exact delivery times on each AliExpress product page before placing your order.",Leveranstiderna varierar beroende på din plats och säljaren. Generellt sett tar standardleverans mellan 15 och 30 arbetsdagar. Vissa säljare erbjuder expressleverans (7–15 dagar) mot en extra avgift. Du kan kontrollera de exakta leveranstiderna på varje AliExpress-produktsida innan du gör din beställning.
homepage.faq.2.question,Question FAQ 2,What payment methods are accepted?,Vilka betalningsmetoder accepteras?
homepage.faq.2.answer,Réponse FAQ 2,"AliExpress accepts several secure payment methods: credit cards (Visa, Mastercard), PayPal, bank transfer, and other methods depending on your country. All payments are secure and protected by AliExpress's Buyer Protection system. You will only be charged once your order has shipped.","AliExpress accepterar flera säkra betalningsmetoder: kreditkort (Visa, Mastercard), PayPal, banköverföring och andra metoder beroende på ditt land. Alla betalningar är säkra och skyddade av AliExpress köparskyddssystem. Du debiteras först när din beställning har skickats."
homepage.faq.3.question,Question FAQ 3,Is there a warranty on the products?,Finns det garanti på produkterna?
homepage.faq.3.answer,Réponse FAQ 3,"Yes, all products sold on AliExpress are covered by the AliExpress Buyer Guarantee. This guarantee covers defective products, products that do not match the description, or products that were not received. You generally have 15 days after receipt to open a dispute if necessary. In addition, many sellers offer their own extended warranties (6 months, 1 year, etc.), which you can find on the product page.","Ja, alla produkter som säljs på AliExpress omfattas av AliExpress köpargaranti. Denna garanti täcker defekta produkter, produkter som inte matchar beskrivningen eller produkter som inte mottagits. Du har vanligtvis 15 dagar efter mottagandet på dig att inleda en tvist om det behövs. Dessutom erbjuder många säljare sina egna förlängda garantier (6 månader, 1 år, etc.), som du hittar på produktsidan."
homepage.faq.4.question,Question FAQ 4,What should I do if there's a problem with my order?,Vad ska jag göra om det är problem med min beställning?
homepage.faq.4.answer,Réponse FAQ 4,"If you encounter a problem (defective product, not received, non-compliant), you can open a dispute directly from your AliExpress account in the ""My Orders"" section. AliExpress customer service will assist you in resolving the issue. Most disputes are resolved quickly, often in your favor if you provide the necessary evidence (photos, description of the problem).","Om du stöter på ett problem (defekt produkt, inte mottagen produkt, icke-kompatibel produkt) kan du öppna en tvist direkt från ditt AliExpress-konto i avsnittet ""Mina beställningar"". AliExpress kundtjänst hjälper dig att lösa problemet. De flesta tvister löses snabbt, ofta till din fördel om du tillhandahåller nödvändiga bevis (foton, beskrivning av problemet)."
homepage.faq.5.question,Question FAQ 5,Are the products authentic and of good quality?,Är produkterna autentiska och av god kvalitet?
homepage.faq.5.answer,Réponse FAQ 5,"We select only quality products from verified and positively rated sellers on AliExpress. Each product displays customer reviews and ratings, allowing you to check the quality before purchasing. We recommend reading reviews and checking photos shared by customers to ensure the product meets your expectations.","Vi väljer endast kvalitetsprodukter från verifierade och positivt betygsatta säljare på AliExpress. Varje produkt visar kundrecensioner och betyg, så att du kan kontrollera kvaliteten innan du köper. Vi rekommenderar att du läser recensioner och tittar på foton som delats av kunder för att säkerställa att produkten uppfyller dina förväntningar."
homepage.bestsellers.title,Titre de la section Best Sellers,Best Sellers,Bästsäljare
button.view_products,"Texte bouton ""Voir les Produits""",View Products,Visa produkter
button.view_on_aliexpress,"Texte bouton ""Voir sur AliExpress""",View on AliExpress,Visa på AliExpress
button.discover_reviews,"Texte bouton ""Découvrez les X avis""",Discover the,Upptäck
button.positive_reviews,"Texte ""avis positifs sur AliExpress""",Positive reviews on AliExpress,Positiva recensioner på AliExpress
