key,description,en,no_auto
,,,#VALUE!
,,,#VALUE!
homepage.advantages.title,Titre de la section avantages,</section>,</seksjon>
homepage.advantages.factory_price.title,Titre avantage: Prix Direct Usine,Factory Direct Price,Fabrikk direkte pris
homepage.advantages.factory_price.description,Description avantage: Prix Direct Usine,Benefit from factory-direct pricing without intermediaries.,Dra nytte av priser direkte fra fabrikken uten mellomledd.
homepage.advantages.worldwide_shipping.title,Titre avantage: Livraison Mondiale,Worldwide Delivery,Verdensomspennende levering
homepage.advantages.worldwide_shipping.description,Description avantage: Livraison Mondiale,Worldwide delivery for all your needs,Verdensomspennende levering for alle dine behov
homepage.advantages.customer_service.title,Titre avantage: Service Après-Vente Réactif,Responsive After-Sales Service,Responsiv ettersalgsservice
homepage.advantages.customer_service.description,Description avantage: Service Après-Vente Réactif,A responsive and available after-sales service to assist you,En responsiv og tilgjengelig ettersalgsservice som hjelper deg
homepage.advantages.secure_payment.title,Titre avantage: Paiement Sécurisé,Secure Payment,Sikker betaling
homepage.advantages.secure_payment.description,Description avantage: Paiement Sécurisé,Secure payment by credit card with maximum protection,Sikker betaling med kredittkort med maksimal beskyttelse
homepage.faq.title,Titre de la section FAQ,Frequently Asked Questions,Ofte stilte spørsmål
homepage.categories.title,Titre de la section catégories,Our Categories,Våre kategorier
homepage.testimonials.title,Titre de la section témoignages,Customer Reviews,Kundevurderinger
homepage.stats.title,Titre de la section statistiques,Our Key Figures,Våre nøkkeltall
homepage.stats.products.number,Nombre de produits,2800,2800
homepage.stats.products.label,Label produits,Products Available,Tilgjengelige produkter
homepage.stats.countries.number,Nombre de pays,108,108
homepage.stats.countries.label,Label pays,Country of Delivery,Leveringsland
homepage.stats.satisfaction.number,Taux de satisfaction,98 %,98 %
homepage.stats.satisfaction.label,Label satisfaction,Customer Satisfaction,Kundetilfredshet
homepage.stats.support.number,Support client,24/7,Døgnet rundt
homepage.stats.support.label,Label support,Customer Service,Kundeservice
homepage.testimonials.1.name,Nom du témoignage 1,Jack D.,Jack D.
homepage.testimonials.1.text,Texte du témoignage 1,"Excellent service! I ordered a rooftop car tent and I’m extremely satisfied. The quality is outstanding, the delivery was fast, and the packaging was secure. The tent is exactly as described—strong, comfortable, and very easy to set up. It has completely upgraded our road trips and camping experience. I highly recommend it without hesitation.","Utmerket service! Jeg bestilte et taktelt til bil, og jeg er ekstremt fornøyd. Kvaliteten er enestående, leveringen var rask, og emballasjen var sikker. Teltet er akkurat som beskrevet – sterkt, komfortabelt og veldig enkelt å sette opp. Det har fullstendig oppgradert bilturene og campingopplevelsen vår. Jeg anbefaler det på det sterkeste uten å nøle."
homepage.testimonials.2.name,Nom du témoignage 2,Marine G.,Marine G.
homepage.testimonials.2.text,Texte du témoignage 2,"Excellent value for money. I bought a gas heater for my camper van and it fully matches the description. The heater is efficient, reliable, and well built, providing fast and consistent warmth even in cold conditions. Delivery was on time, the packaging was secure, and the product exceeded my expectations.","Utmerket valuta for pengene. Jeg kjøpte en gassovn til campingvognen min, og den samsvarer fullt ut med beskrivelsen. Varmeovnen er effektiv, pålitelig og godt bygget, og gir rask og jevn varme selv i kalde forhold. Leveringen var i tide, emballasjen var sikker, og produktet overgikk forventningene mine."
homepage.testimonials.3.name,Nom du témoignage 3,Fabrice L.,Fabrice L.
homepage.testimonials.3.text,Texte du témoignage 3,"Perfect! I ordered outdoor camping chairs and I’m very satisfied. The quality is excellent, the price is competitive, and the delivery went smoothly. The chairs are sturdy, comfortable, and well designed, making them ideal for camping, road trips, and outdoor use. I will definitely be back!","Perfekt! Jeg bestilte utendørs campingstoler og er veldig fornøyd. Kvaliteten er utmerket, prisen er konkurransedyktig, og leveringen gikk knirkefritt. Stolene er solide, komfortable og godt designet, noe som gjør dem ideelle for camping, bilturer og utendørs bruk. Jeg kommer definitivt tilbake!"
homepage.testimonials.4.name,Nom du témoignage 4,Rose K.,Rose K.
homepage.testimonials.4.text,Texte du témoignage 4,"Responsive customer service and quality product. I had a quick question before ordering and received a prompt and helpful reply. The inflatable mattress perfectly matches the photos and description. The build quality is excellent, it inflates easily, and it’s very comfortable for sleeping. It performed exactly as expected and made our camping nights much more enjoyable. Very satisfied with my purchase!

","Responsiv kundeservice og kvalitetsprodukt. Jeg hadde et raskt spørsmål før jeg bestilte og fikk et raskt og nyttig svar. Den oppblåsbare madrassen samsvarer perfekt med bildene og beskrivelsen. Byggekvaliteten er utmerket, den blåses lett opp, og den er veldig komfortabel å sove i. Den fungerte akkurat som forventet og gjorde campingkveldene våre mye morsommere. Veldig fornøyd med kjøpet mitt!

"
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,FAQ,,#VALUE!
homepage.faq.1.question,Question FAQ 1,What are the delivery times?,Hva er leveringstidene?
homepage.faq.1.answer,Réponse FAQ 1,"Delivery times vary depending on your location and the seller. Generally, standard delivery takes between 15 and 30 business days. Some sellers offer express delivery (7-15 days) for an additional fee. You can check the exact delivery times on each AliExpress product page before placing your order.",Leveringstidene varierer avhengig av hvor du befinner deg og selgeren. Vanligvis tar standardlevering mellom 15 og 30 virkedager. Noen selgere tilbyr ekspresslevering (7–15 dager) mot et tillegg i prisen. Du kan sjekke de nøyaktige leveringstidene på hver AliExpress-produktside før du bestiller.
homepage.faq.2.question,Question FAQ 2,What payment methods are accepted?,Hvilke betalingsmetoder aksepteres?
homepage.faq.2.answer,Réponse FAQ 2,"AliExpress accepts several secure payment methods: credit cards (Visa, Mastercard), PayPal, bank transfer, and other methods depending on your country. All payments are secure and protected by AliExpress's Buyer Protection system. You will only be charged once your order has shipped.","AliExpress aksepterer flere sikre betalingsmetoder: kredittkort (Visa, Mastercard), PayPal, bankoverføring og andre metoder avhengig av landet ditt. Alle betalinger er sikre og beskyttet av AliExpress sitt kjøperbeskyttelsessystem. Du blir først belastet når bestillingen din er sendt."
homepage.faq.3.question,Question FAQ 3,Is there a warranty on the products?,Er det garanti på produktene?
homepage.faq.3.answer,Réponse FAQ 3,"Yes, all products sold on AliExpress are covered by the AliExpress Buyer Guarantee. This guarantee covers defective products, products that do not match the description, or products that were not received. You generally have 15 days after receipt to open a dispute if necessary. In addition, many sellers offer their own extended warranties (6 months, 1 year, etc.), which you can find on the product page.","Ja, alle produkter som selges på AliExpress er dekket av AliExpress kjøpergaranti. Denne garantien dekker defekte produkter, produkter som ikke samsvarer med beskrivelsen, eller produkter som ikke ble mottatt. Du har vanligvis 15 dager etter mottakelse til å åpne en tvist om nødvendig. I tillegg tilbyr mange selgere sine egne utvidede garantier (6 måneder, 1 år osv.), som du finner på produktsiden."
homepage.faq.4.question,Question FAQ 4,What should I do if there's a problem with my order?,Hva bør jeg gjøre hvis det er et problem med bestillingen min?
homepage.faq.4.answer,Réponse FAQ 4,"If you encounter a problem (defective product, not received, non-compliant), you can open a dispute directly from your AliExpress account in the ""My Orders"" section. AliExpress customer service will assist you in resolving the issue. Most disputes are resolved quickly, often in your favor if you provide the necessary evidence (photos, description of the problem).","Hvis du støter på et problem (defekt produkt, ikke mottatt, ikke-kompatibelt), kan du åpne en tvist direkte fra AliExpress-kontoen din i delen «Mine bestillinger». AliExpress kundeservice vil hjelpe deg med å løse problemet. De fleste tvister løses raskt, ofte i din favør hvis du fremlegger nødvendig bevis (bilder, beskrivelse av problemet)."
homepage.faq.5.question,Question FAQ 5,Are the products authentic and of good quality?,Er produktene autentiske og av god kvalitet?
homepage.faq.5.answer,Réponse FAQ 5,"We select only quality products from verified and positively rated sellers on AliExpress. Each product displays customer reviews and ratings, allowing you to check the quality before purchasing. We recommend reading reviews and checking photos shared by customers to ensure the product meets your expectations.","Vi velger kun kvalitetsprodukter fra verifiserte og positivt vurderte selgere på AliExpress. Hvert produkt viser kundeanmeldelser og -vurderinger, slik at du kan sjekke kvaliteten før du kjøper. Vi anbefaler å lese anmeldelser og se på bilder delt av kunder for å sikre at produktet oppfyller dine forventninger."
homepage.bestsellers.title,Titre de la section Best Sellers,Best Sellers,Bestselgere
button.view_products,"Texte bouton ""Voir les Produits""",View Products,Se produkter
button.view_on_aliexpress,"Texte bouton ""Voir sur AliExpress""",View on AliExpress,Se på AliExpress
button.discover_reviews,"Texte bouton ""Découvrez les X avis""",Discover the,Oppdag
button.positive_reviews,"Texte ""avis positifs sur AliExpress""",Positive reviews on AliExpress,Positive anmeldelser på AliExpress
