key,description,en,nl_auto
homepage.presentation.content,Contenu de la section présentation marque,"RV TRAVEL SHOP is your premier destination for affordable campervan, motorhome, and van life equipment at factory prices. We offer a wide range of specialized gear sourced directly from manufacturers through trusted platforms like AliExpress. By working at the source, we eliminate unnecessary intermediaries to pass the savings directly to you. Our selection includes everything from solar power systems and interior fittings to outdoor camping gear and sanitation solutions. Whether you are a weekend adventurer or a full-time digital nomad, RV TRAVEL SHOP helps you stay equipped and ready for the road—without overpaying.","RV TRAVEL SHOP is dé plek voor betaalbare campervans, motorhomes en vanlife-uitrusting tegen fabrieksprijzen. We bieden een breed assortiment gespecialiseerde producten, rechtstreeks ingekocht bij fabrikanten via betrouwbare platforms zoals AliExpress. Door direct bij de bron in te kopen, schakelen we onnodige tussenpersonen uit en geven we de besparingen direct aan u door. Ons aanbod omvat alles, van zonne-energiesystemen en interieurinrichting tot kampeeruitrusting en sanitaire oplossingen. Of u nu een weekendavonturier bent of een fulltime digitale nomade, RV TRAVEL SHOP helpt u om uitgerust en klaar voor de weg te zijn – zonder te veel te betalen."
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
homepage.advantages.title,Titre de la section avantages,</section>,</sectie>
homepage.advantages.factory_price.title,Titre avantage: Prix Direct Usine,Factory Direct Price,Fabrieksprijs
homepage.advantages.factory_price.description,Description avantage: Prix Direct Usine,Benefit from factory-direct pricing without intermediaries.,Profiteer van fabrieksprijzen zonder tussenpersonen.
homepage.advantages.worldwide_shipping.title,Titre avantage: Livraison Mondiale,Worldwide Delivery,Wereldwijde levering
homepage.advantages.worldwide_shipping.description,Description avantage: Livraison Mondiale,Worldwide delivery for all your needs,Wereldwijde levering voor al uw behoeften.
homepage.advantages.customer_service.title,Titre avantage: Service Après-Vente Réactif,Responsive After-Sales Service,Responsieve klantenservice na aankoop
homepage.advantages.customer_service.description,Description avantage: Service Après-Vente Réactif,A responsive and available after-sales service to assist you,Een responsieve en beschikbare klantenservice om u te helpen.
homepage.advantages.secure_payment.title,Titre avantage: Paiement Sécurisé,Secure Payment,Veilige betaling
homepage.advantages.secure_payment.description,Description avantage: Paiement Sécurisé,Secure payment by credit card with maximum protection,Veilig betalen met creditcard met maximale bescherming.
homepage.faq.title,Titre de la section FAQ,Frequently Asked Questions,Veelgestelde vragen
homepage.categories.title,Titre de la section catégories,Our Categories,Onze categorieën
homepage.testimonials.title,Titre de la section témoignages,Customer Reviews,Klantenrecensies
homepage.stats.title,Titre de la section statistiques,Our Key Figures,Onze kerncijfers
homepage.stats.products.number,Nombre de produits,2800,2800
homepage.stats.products.label,Label produits,Products Available,Beschikbare producten
homepage.stats.countries.number,Nombre de pays,108,108
homepage.stats.countries.label,Label pays,Country of Delivery,Land van levering
homepage.stats.satisfaction.number,Taux de satisfaction,98 %,98%
homepage.stats.satisfaction.label,Label satisfaction,Customer Satisfaction,Klanttevredenheid
homepage.stats.support.number,Support client,24/7,24/7
homepage.stats.support.label,Label support,Customer Service,Klantenservice
homepage.testimonials.1.name,Nom du témoignage 1,Jack D.,Jack D.
homepage.testimonials.1.text,Texte du témoignage 1,"Excellent service! I ordered a rooftop car tent and I’m extremely satisfied. The quality is outstanding, the delivery was fast, and the packaging was secure. The tent is exactly as described—strong, comfortable, and very easy to set up. It has completely upgraded our road trips and camping experience. I highly recommend it without hesitation.","Uitstekende service! Ik heb een daktent voor mijn auto besteld en ben er zeer tevreden over. De kwaliteit is uitstekend, de levering was snel en de verpakking was stevig. De tent is precies zoals beschreven: sterk, comfortabel en heel gemakkelijk op te zetten. Het heeft onze roadtrips en kampeerervaring compleet veranderd. Ik kan hem zonder aarzeling van harte aanbevelen."
homepage.testimonials.2.name,Nom du témoignage 2,Marine G.,Marine G.
homepage.testimonials.2.text,Texte du témoignage 2,"Excellent value for money. I bought a gas heater for my camper van and it fully matches the description. The heater is efficient, reliable, and well built, providing fast and consistent warmth even in cold conditions. Delivery was on time, the packaging was secure, and the product exceeded my expectations.","Uitstekende prijs-kwaliteitverhouding. Ik heb een gaskachel voor mijn camper gekocht en deze voldoet volledig aan de beschrijving. De kachel is efficiënt, betrouwbaar en degelijk gebouwd, en levert snel en constant warmte, zelfs bij koud weer. De levering was op tijd, de verpakking was stevig en het product overtrof mijn verwachtingen."
homepage.testimonials.3.name,Nom du témoignage 3,Fabrice L.,Fabrice L.
homepage.testimonials.3.text,Texte du témoignage 3,"Perfect! I ordered outdoor camping chairs and I’m very satisfied. The quality is excellent, the price is competitive, and the delivery went smoothly. The chairs are sturdy, comfortable, and well designed, making them ideal for camping, road trips, and outdoor use. I will definitely be back!","Perfect! Ik heb campingstoelen voor buiten besteld en ben er zeer tevreden over. De kwaliteit is uitstekend, de prijs is concurrerend en de levering verliep vlekkeloos. De stoelen zijn stevig, comfortabel en goed ontworpen, waardoor ze ideaal zijn voor kamperen, roadtrips en ander buitengebruik. Ik kom zeker terug!"
homepage.testimonials.4.name,Nom du témoignage 4,Rose K.,Rose K.
homepage.testimonials.4.text,Texte du témoignage 4,"Responsive customer service and quality product. I had a quick question before ordering and received a prompt and helpful reply. The inflatable mattress perfectly matches the photos and description. The build quality is excellent, it inflates easily, and it’s very comfortable for sleeping. It performed exactly as expected and made our camping nights much more enjoyable. Very satisfied with my purchase!

","Uitstekende klantenservice en een kwaliteitsproduct. Ik had een korte vraag voordat ik bestelde en kreeg snel en behulpzaam antwoord. Het opblaasmatras komt perfect overeen met de foto's en de beschrijving. De bouwkwaliteit is uitstekend, het is gemakkelijk op te blazen en het is zeer comfortabel om op te slapen. Het voldeed volledig aan de verwachtingen en maakte onze kampeernachten veel aangenamer. Zeer tevreden met mijn aankoop!

"
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,FAQ,,#VALUE!
homepage.faq.1.question,Question FAQ 1,What are the delivery times?,Wat zijn de levertijden?
homepage.faq.1.answer,Réponse FAQ 1,"Delivery times vary depending on your location and the seller. Generally, standard delivery takes between 15 and 30 business days. Some sellers offer express delivery (7-15 days) for an additional fee. You can check the exact delivery times on each AliExpress product page before placing your order.",De levertijden variëren afhankelijk van uw locatie en de verkoper. Over het algemeen duurt standaardlevering tussen de 15 en 30 werkdagen. Sommige verkopers bieden expresslevering (7-15 dagen) aan tegen een extra vergoeding. U kunt de exacte levertijden controleren op de productpagina van AliExpress voordat u uw bestelling plaatst.
homepage.faq.2.question,Question FAQ 2,What payment methods are accepted?,Welke betaalmethoden worden geaccepteerd?
homepage.faq.2.answer,Réponse FAQ 2,"AliExpress accepts several secure payment methods: credit cards (Visa, Mastercard), PayPal, bank transfer, and other methods depending on your country. All payments are secure and protected by AliExpress's Buyer Protection system. You will only be charged once your order has shipped.","AliExpress accepteert verschillende veilige betaalmethoden: creditcards (Visa, Mastercard), PayPal, bankoverschrijving en andere methoden, afhankelijk van uw land. Alle betalingen zijn veilig en beschermd door het kopersbeschermingssysteem van AliExpress. U wordt pas gefactureerd nadat uw bestelling is verzonden."
homepage.faq.3.question,Question FAQ 3,Is there a warranty on the products?,Wordt er garantie gegeven op de producten?
homepage.faq.3.answer,Réponse FAQ 3,"Yes, all products sold on AliExpress are covered by the AliExpress Buyer Guarantee. This guarantee covers defective products, products that do not match the description, or products that were not received. You generally have 15 days after receipt to open a dispute if necessary. In addition, many sellers offer their own extended warranties (6 months, 1 year, etc.), which you can find on the product page.","Ja, alle producten die op AliExpress worden verkocht, vallen onder de AliExpress-kopersgarantie. Deze garantie dekt defecte producten, producten die niet overeenkomen met de beschrijving of producten die niet zijn ontvangen. Je hebt over het algemeen 15 dagen na ontvangst om een ​​geschil aan te melden, indien nodig. Daarnaast bieden veel verkopers hun eigen verlengde garanties aan (6 maanden, 1 jaar, enz.), die je kunt vinden op de productpagina."
homepage.faq.4.question,Question FAQ 4,What should I do if there's a problem with my order?,Wat moet ik doen als er een probleem is met mijn bestelling?
homepage.faq.4.answer,Réponse FAQ 4,"If you encounter a problem (defective product, not received, non-compliant), you can open a dispute directly from your AliExpress account in the ""My Orders"" section. AliExpress customer service will assist you in resolving the issue. Most disputes are resolved quickly, often in your favor if you provide the necessary evidence (photos, description of the problem).","Als je een probleem ondervindt (defect product, niet ontvangen, niet conform), kun je rechtstreeks vanuit je AliExpress-account een geschil openen in het gedeelte ""Mijn bestellingen"". De klantenservice van AliExpress helpt je dan bij het oplossen van het probleem. De meeste geschillen worden snel opgelost, vaak in je voordeel als je het nodige bewijsmateriaal aanlevert (foto's, beschrijving van het probleem)."
homepage.faq.5.question,Question FAQ 5,Are the products authentic and of good quality?,Zijn de producten authentiek en van goede kwaliteit?
homepage.faq.5.answer,Réponse FAQ 5,"We select only quality products from verified and positively rated sellers on AliExpress. Each product displays customer reviews and ratings, allowing you to check the quality before purchasing. We recommend reading reviews and checking photos shared by customers to ensure the product meets your expectations.","Wij selecteren uitsluitend kwaliteitsproducten van geverifieerde en positief beoordeelde verkopers op AliExpress. Elk product toont klantrecensies en -beoordelingen, zodat u de kwaliteit kunt controleren voordat u tot aankoop overgaat. We raden u aan de recensies te lezen en de foto's van klanten te bekijken om er zeker van te zijn dat het product aan uw verwachtingen voldoet."
homepage.bestsellers.title,Titre de la section Best Sellers,Best Sellers,Bestsellers
button.view_products,"Texte bouton ""Voir les Produits""",View Products,Bekijk producten
button.view_on_aliexpress,"Texte bouton ""Voir sur AliExpress""",View on AliExpress,Bekijk op AliExpress
button.discover_reviews,"Texte bouton ""Découvrez les X avis""",Discover the,Ontdek de
button.positive_reviews,"Texte ""avis positifs sur AliExpress""",Positive reviews on AliExpress,Positieve recensies op AliExpress
