key,description,en,fi_auto
,,,#VALUE!
site.meta.title,Titre SEO du site (page d'accueil),RV TRAVEL SHOP | Camping Car & Van Equipment at Factory Prices,Asuntoautokauppa | Asuntoauto- ja pakettiautovarusteet alkuperäishintaan
site.meta.description,Description SEO du site (page d'accueil),"Shop quality van life and motorhome equipment. From solar kits to kitchen gear, get factory prices for your adventures. Drive more, pay less!","Osta laadukkaita matkailuauton ja pakettiauton varusteita. Aurinkopaneelien ja keittiövälineiden joukosta saat tehdashinnat seikkailuihisi. Aja enemmän, maksa vähemmän!"
homepage.hero.title,Titre principal de la page d'accueil (hero),Discover the Best Products of RV TRAVEL SHOP,Löydä RV TRAVEL SHOPin parhaat tuotteet
homepage.hero.subtitle,Sous-titre de la page d'accueil (hero),Exclusive offers and competitive prices for all your needs,Ainutlaatuisia tarjouksia ja kilpailukykyisiä hintoja kaikkiin tarpeisiisi
homepage.hero.button,Texte du bouton hero,View Products,Näytä tuotteet
homepage.hero.button.url,URL du lien du bouton hero,https://rvtravelshop.com,https://rvtravelshop.com
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,presentation,,#VALUE!
,,,#VALUE!
homepage.presentation.title,Titre de la section présentation marque,About RV TRAVEL SHOP,Tietoja RV TRAVEL SHOPista
homepage.presentation.content,Contenu de la section présentation marque,"RV TRAVEL SHOP is your premier destination for affordable campervan, motorhome, and van life equipment at factory prices. We offer a wide range of specialized gear sourced directly from manufacturers through trusted platforms like AliExpress. By working at the source, we eliminate unnecessary intermediaries to pass the savings directly to you. Our selection includes everything from solar power systems and interior fittings to outdoor camping gear and sanitation solutions. Whether you are a weekend adventurer or a full-time digital nomad, RV TRAVEL SHOP helps you stay equipped and ready for the road—without overpaying.","RV TRAVEL SHOP on ensisijainen kohteesi edullisille matkailuautoille, -autoille ja -pakettiautoille, tehdashintaan. Tarjoamme laajan valikoiman erikoisvarusteita suoraan valmistajilta luotettavien alustojen, kuten AliExpressin, kautta. Työskentelemällä paikan päällä poistamme tarpeettomat välikädet ja siirrämme säästöt suoraan sinulle. Valikoimaamme kuuluu kaikkea aurinkoenergiajärjestelmistä ja sisustustarvikkeista ulkoiluvälineisiin ja sanitaatioratkaisuihin. Oletpa sitten viikonloppuseikkailija tai kokopäiväinen digitaalinen nomadi, RV TRAVEL SHOP auttaa sinua pysymään varustautuneena ja valmiina tielle – maksamatta liikaa."
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
homepage.advantages.title,Titre de la section avantages,</section>,</osio>
homepage.advantages.factory_price.title,Titre avantage: Prix Direct Usine,Factory Direct Price,Tehtaan suora hinta
homepage.advantages.factory_price.description,Description avantage: Prix Direct Usine,Benefit from factory-direct pricing without intermediaries.,Hyödynnä tehtaan suorat hinnat ilman välikäsiä.
homepage.advantages.worldwide_shipping.title,Titre avantage: Livraison Mondiale,Worldwide Delivery,Toimitus maailmanlaajuisesti
homepage.advantages.worldwide_shipping.description,Description avantage: Livraison Mondiale,Worldwide delivery for all your needs,Toimitus maailmanlaajuisesti kaikkiin tarpeisiisi
homepage.advantages.customer_service.title,Titre avantage: Service Après-Vente Réactif,Responsive After-Sales Service,Reagoiva jälkimarkkinointipalvelu
homepage.advantages.customer_service.description,Description avantage: Service Après-Vente Réactif,A responsive and available after-sales service to assist you,Reagoiva ja helposti saatavilla oleva jälkimarkkinointipalvelu auttaa sinua
homepage.advantages.secure_payment.title,Titre avantage: Paiement Sécurisé,Secure Payment,Turvallinen maksu
homepage.advantages.secure_payment.description,Description avantage: Paiement Sécurisé,Secure payment by credit card with maximum protection,Turvallinen luottokorttimaksu maksimaalisella suojauksella
homepage.faq.title,Titre de la section FAQ,Frequently Asked Questions,Usein kysytyt kysymykset
homepage.categories.title,Titre de la section catégories,Our Categories,Kategoriamme
homepage.testimonials.title,Titre de la section témoignages,Customer Reviews,Asiakasarvostelut
homepage.stats.title,Titre de la section statistiques,Our Key Figures,Keskeiset luvut
homepage.stats.products.number,Nombre de produits,2800,2800
homepage.stats.products.label,Label produits,Products Available,Saatavilla olevat tuotteet
homepage.stats.countries.number,Nombre de pays,108,108
homepage.stats.countries.label,Label pays,Country of Delivery,Toimitusmaa
homepage.stats.satisfaction.number,Taux de satisfaction,98 %,98 %
homepage.stats.satisfaction.label,Label satisfaction,Customer Satisfaction,Asiakastyytyväisyys
homepage.stats.support.number,Support client,24/7,24/7
homepage.stats.support.label,Label support,Customer Service,Asiakaspalvelu
homepage.testimonials.1.name,Nom du témoignage 1,Jack D.,Jack D.
homepage.testimonials.1.text,Texte du témoignage 1,"Excellent service! I ordered a rooftop car tent and I’m extremely satisfied. The quality is outstanding, the delivery was fast, and the packaging was secure. The tent is exactly as described—strong, comfortable, and very easy to set up. It has completely upgraded our road trips and camping experience. I highly recommend it without hesitation.","Erinomaista palvelua! Tilasin kattoteltan autolle ja olen erittäin tyytyväinen. Laatu on erinomainen, toimitus oli nopea ja pakkaus turvallinen. Teltta on täsmälleen kuvauksen mukainen – vahva, mukava ja erittäin helppo pystyttää. Se on parantanut täysin automatkojamme ja leirintäkokemustamme. Suosittelen sitä lämpimästi ja epäröimättä."
homepage.testimonials.2.name,Nom du témoignage 2,Marine G.,Merijalkaväen G.
homepage.testimonials.2.text,Texte du témoignage 2,"Excellent value for money. I bought a gas heater for my camper van and it fully matches the description. The heater is efficient, reliable, and well built, providing fast and consistent warmth even in cold conditions. Delivery was on time, the packaging was secure, and the product exceeded my expectations.","Erinomaista vastinetta rahalle. Ostin kaasulämmittimen matkailuautooni ja se vastaa täysin kuvausta. Lämmitin on tehokas, luotettava ja hyvin rakennettu, ja se tarjoaa nopeaa ja tasaista lämpöä myös kylmissä olosuhteissa. Toimitus oli ajallaan, pakkaus oli turvallinen ja tuote ylitti odotukseni."
homepage.testimonials.3.name,Nom du témoignage 3,Fabrice L.,Fabrice L.
homepage.testimonials.3.text,Texte du témoignage 3,"Perfect! I ordered outdoor camping chairs and I’m very satisfied. The quality is excellent, the price is competitive, and the delivery went smoothly. The chairs are sturdy, comfortable, and well designed, making them ideal for camping, road trips, and outdoor use. I will definitely be back!","Täydellistä! Tilasin ulkokäyttöön tarkoitetut retkituotolelut ja olen erittäin tyytyväinen. Laatu on erinomainen, hinta kilpailukykyinen ja toimitus sujui mutkattomasti. Tuolit ovat tukevia, mukavia ja hyvin suunniteltuja, joten ne sopivat täydellisesti retkeilyyn, automatkoille ja ulkokäyttöön. Tulen ehdottomasti takaisin!"
homepage.testimonials.4.name,Nom du témoignage 4,Rose K.,Ruusu K.
homepage.testimonials.4.text,Texte du témoignage 4,"Responsive customer service and quality product. I had a quick question before ordering and received a prompt and helpful reply. The inflatable mattress perfectly matches the photos and description. The build quality is excellent, it inflates easily, and it’s very comfortable for sleeping. It performed exactly as expected and made our camping nights much more enjoyable. Very satisfied with my purchase!

","Responsiivinen asiakaspalvelu ja laadukas tuote. Minulla oli nopea kysymys ennen tilaamista ja sain nopean ja avuliaan vastauksen. Ilmatäytteinen patja vastaa täydellisesti kuvia ja kuvausta. Rakenne on erinomainen, se täyttyy helposti ja siinä on erittäin mukava nukkua. Se toimi täsmälleen odotetusti ja teki leirintäilloistamme paljon nautinnollisempia. Olen erittäin tyytyväinen ostokseeni!"
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,,,#VALUE!
,FAQ,,#VALUE!
homepage.faq.1.question,Question FAQ 1,What are the delivery times?,Mitkä ovat toimitusajat?
homepage.faq.1.answer,Réponse FAQ 1,"Delivery times vary depending on your location and the seller. Generally, standard delivery takes between 15 and 30 business days. Some sellers offer express delivery (7-15 days) for an additional fee. You can check the exact delivery times on each AliExpress product page before placing your order.",Toimitusajat vaihtelevat sijainnistasi ja myyjästä riippuen. Yleensä vakiotoimitus kestää 15–30 arkipäivää. Jotkut myyjät tarjoavat pikatoimituksen (7–15 päivää) lisämaksusta. Voit tarkistaa tarkat toimitusajat kunkin AliExpress-tuotesivun omilta sivuilta ennen tilauksen tekemistä.
homepage.faq.2.question,Question FAQ 2,What payment methods are accepted?,Mitä maksutapoja hyväksytään?
homepage.faq.2.answer,Réponse FAQ 2,"AliExpress accepts several secure payment methods: credit cards (Visa, Mastercard), PayPal, bank transfer, and other methods depending on your country. All payments are secure and protected by AliExpress's Buyer Protection system. You will only be charged once your order has shipped.","AliExpress hyväksyy useita turvallisia maksutapoja: luottokortit (Visa, Mastercard), PayPalin, pankkisiirron ja muita menetelmiä maastasi riippuen. Kaikki maksut ovat turvallisia ja suojattuja AliExpressin ostajan suojausjärjestelmän avulla. Sinulta veloitetaan maksu vasta, kun tilauksesi on lähetetty."
homepage.faq.3.question,Question FAQ 3,Is there a warranty on the products?,Onko tuotteilla takuu?
homepage.faq.3.answer,Réponse FAQ 3,"Yes, all products sold on AliExpress are covered by the AliExpress Buyer Guarantee. This guarantee covers defective products, products that do not match the description, or products that were not received. You generally have 15 days after receipt to open a dispute if necessary. In addition, many sellers offer their own extended warranties (6 months, 1 year, etc.), which you can find on the product page.","Kyllä, kaikki AliExpressissä myytävät tuotteet kuuluvat AliExpressin ostajan takuun piiriin. Tämä takuu kattaa vialliset tuotteet, tuotteet, jotka eivät vastaa kuvausta, tai tuotteet, joita ei ole vastaanotettu. Sinulla on yleensä 15 päivää vastaanottamisesta aikaa riidan tekemiseen tarvittaessa. Lisäksi monet myyjät tarjoavat omia pidennettyjä takuita (6 kuukautta, 1 vuosi jne.), jotka löydät tuotesivulta."
homepage.faq.4.question,Question FAQ 4,What should I do if there's a problem with my order?,"Mitä minun pitäisi tehdä, jos tilauksessani on ongelma?"
homepage.faq.4.answer,Réponse FAQ 4,"If you encounter a problem (defective product, not received, non-compliant), you can open a dispute directly from your AliExpress account in the ""My Orders"" section. AliExpress customer service will assist you in resolving the issue. Most disputes are resolved quickly, often in your favor if you provide the necessary evidence (photos, description of the problem).","Jos kohtaat ongelman (viallinen tuote, ei vastaanotettu, ei yhteensopiva), voit tehdä valituksen suoraan AliExpress-tililtäsi ""Tilaukseni""-osiossa. AliExpressin asiakaspalvelu auttaa sinua ratkaisemaan ongelman. Useimmat riidat ratkaistaan ​​nopeasti, usein eduksi, jos toimitat tarvittavat todisteet (valokuvat, ongelman kuvaus)."
homepage.faq.5.question,Question FAQ 5,Are the products authentic and of good quality?,Ovatko tuotteet aitoja ja laadukkaita?
homepage.faq.5.answer,Réponse FAQ 5,"We select only quality products from verified and positively rated sellers on AliExpress. Each product displays customer reviews and ratings, allowing you to check the quality before purchasing. We recommend reading reviews and checking photos shared by customers to ensure the product meets your expectations.","Valitsemme AliExpressissä vain laadukkaita tuotteita varmennettujen ja positiivisesti arvioitujen myyjien kautta. Jokaisen tuotteen kohdalla näkyy asiakasarvosteluja ja -luokituksia, joiden avulla voit tarkistaa laadun ennen ostamista. Suosittelemme lukemaan arvosteluja ja tarkistamaan asiakkaiden jakamat valokuvat varmistaaksesi, että tuote vastaa odotuksiasi."
homepage.bestsellers.title,Titre de la section Best Sellers,Best Sellers,Parhaiten myyvät
button.view_products,"Texte bouton ""Voir les Produits""",View Products,Näytä tuotteet
button.view_on_aliexpress,"Texte bouton ""Voir sur AliExpress""",View on AliExpress,Näytä AliExpressissä
button.discover_reviews,"Texte bouton ""Découvrez les X avis""",Discover the,Tutustu
button.positive_reviews,"Texte ""avis positifs sur AliExpress""",Positive reviews on AliExpress,Positiivisia arvosteluja AliExpressissä
